,Accommodates,Accuracy,Air Conditioning,Bathrooms,Bed type,Bedrooms,Beds,Breakfast,Buzzer/Wireless Intercom,Cable TV,Cancellation,Carbon Monoxide Detector,Check In,Check Out,Checkin,Cleaning_Fee,Cleanliness,Communication,Doorman,Dryer,Elevator in Building,Essentials,Extra_People,Family/Kid Friendly,Fire Extinguisher,First Aid Kit,Free Parking on Premises,Gym,Heating,Hot Tub,Indoor Fireplace,Internet,Kitchen,Lat,ListingID,Location,Long,Monthly_Price,Pets Allowed,Pool,Price,Property type,Safety Card,Security_Deposit,Shampoo,Smoke Detector,Smoking Allowed,Suitable for Events,TV,Title,URL,UserID,Value,Washer,Weekly_Price,Wheelchair Accessible,Wireless Internet
222,4,4.5,1,1,Not Found,1,2,1,1,1,Moderate,0,Not Found,Not Found,5.0,Not Found,4.5,5.0,0,1,0,1,No Charge,1,0,0,0,1,1,0,0,1,1,40.7549030663376,2699454,5.0,-73.96729009561133,$3500,0,1,190,Apartment,1,Not Found,1,0,0,1,1,"Sun-Kissed, Renovated Apt. near UN.",https://www.airbnb.com/rooms/2699454,13813131,4.5,1,$1300,1,1
223,2,4.5,1,1,Real Bed,1,1,1,1,0,Flexible,0,Not Found,Not Found,5.0,Not Found,4.0,5.0,0,1,0,1,No Charge,0,0,0,0,1,1,0,0,1,1,40.77632479255753,3771656,5.0,-73.95457505681182,Not Found,0,1,95,Apartment,1,Not Found,0,1,0,1,1,Amazing Upper East Side Location,https://www.airbnb.com/rooms/3771656,19331457,4.5,1,Not Found,1,1
224,6,Not Found,1,1,Real Bed,1,1,1,0,1,Moderate,1,3:00 PM,12:00 PM (noon),Not Found,$95,Not Found,Not Found,0,1,0,1,$25 / night after 2 guests,1,1,0,0,1,1,0,0,1,1,40.81356319164928,6328394,Not Found,-73.94807121399317,Not Found,0,1,100,Apartment,1,$200,0,1,0,1,1,"Trendy, newly renovated 1 BD Apt.",https://www.airbnb.com/rooms/6328394,8876603,Not Found,1,Not Found,1,1
225,4,Not Found,1,1,Not Found,1,2,1,1,0,Moderate,1,Not Found,12:00 PM (noon),Not Found,Not Found,Not Found,Not Found,0,1,1,1,$20 / night after 2 guests,1,1,1,0,1,1,0,0,1,1,40.80737092273556,7192484,Not Found,-73.95204539524929,Not Found,0,1,125,Apartment,1,Not Found,0,1,0,1,0,Entire Apartment in historic Harlem,https://www.airbnb.com/rooms/7192484,417746,Not Found,1,$800,1,1
226,3,5.0,1,1,Real Bed,1,1,1,1,1,Strict,1,10:00 AM,4:00 PM,5.0,$100,4.5,5.0,0,1,0,1,$50 / night after 2 guests,1,0,0,0,1,1,0,0,1,1,40.781885904293645,169479,5.0,-73.97716185560873,$4500,0,1,200,Apartment,1,$202,1,1,1,1,1,You will enjoy the large terrace!  ,https://www.airbnb.com/rooms/169479,807613,4.5,1,$1200,1,1
227,4,4.5,1,1,Real Bed,1,1,1,0,0,Strict,0,Not Found,Not Found,4.0,$60,4.5,4.5,0,1,0,1,$20 / night after the first guest,0,0,0,0,1,1,1,0,1,1,40.762923463103625,1722622,4.5,-73.99009486500748,$5000,0,1,140,Apartment,1,Not Found,0,0,0,1,0,Midtown West Suite - Best Area,https://www.airbnb.com/rooms/1722622,3001712,4.5,1,Not Found,1,1
228,2,4.5,1,1,Not Found,1,2,1,1,1,Moderate,0,11:00 AM,Not Found,5.0,$40,4.5,5.0,0,1,0,1,$20 / night after the first guest,0,0,0,0,1,1,0,0,1,1,40.77954700465656,131747,5.0,-73.98450442677499,Not Found,0,1,165,Apartment,1,$400,0,0,0,1,1,ELEGANT TOWNHOUSE APT* FAB LOC,https://www.airbnb.com/rooms/131747,647988,4.5,1,Not Found,1,1
229,4,Not Found,1,1,Not Found,1,2,1,1,1,Strict,1,3:00 PM,11:00 AM,Not Found,$100,Not Found,Not Found,0,1,0,1,No Charge,0,0,0,0,1,1,0,1,1,1,40.79838412959373,2468186,Not Found,-73.96388158545442,$4000,0,1,200,Apartment,1,$300,1,1,0,1,1,Luxury Living Near Central Park,https://www.airbnb.com/rooms/2468186,4665764,Not Found,1,Not Found,1,1
230,2,Not Found,1,1,Real Bed,1,1,1,1,0,Flexible,1,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0,1,0,1,No Charge,0,1,0,0,1,1,0,0,1,1,40.80092127772995,5559399,Not Found,-73.95960618846408,Not Found,0,1,125,Apartment,1,Not Found,0,1,0,1,1,Modern 1 Bedroom in UWS,https://www.airbnb.com/rooms/5559399,1976313,Not Found,1,Not Found,1,1
231,2,5.0,1,1,Real Bed,0,1,1,1,1,Moderate,0,Not Found,Not Found,5.0,$100,5.0,5.0,0,1,1,1,Not Found,0,0,0,0,1,1,0,0,1,1,40.782712826699104,16949,4.0,-73.9467736386615,$3000,0,1,130,Apartment,1,$300,0,0,0,1,1,UES Studio on 2nd Ave and 94th St ,https://www.airbnb.com/rooms/16949,65738,4.5,1,$900,1,1
