,Accommodates,Accuracy,Air Conditioning,Bathrooms,Bed type,Bedrooms,Beds,Breakfast,Buzzer/Wireless Intercom,Cable TV,Cancellation,Carbon Monoxide Detector,Check In,Check Out,Checkin,Cleaning_Fee,Cleanliness,Communication,Doorman,Dryer,Elevator in Building,Essentials,Extra_People,Family/Kid Friendly,Fire Extinguisher,First Aid Kit,Free Parking on Premises,Gym,Heating,Hot Tub,Indoor Fireplace,Internet,Kitchen,Lat,ListingID,Location,Long,Monthly_Price,Pets Allowed,Pool,Price,Property type,Safety Card,Security_Deposit,Shampoo,Smoke Detector,Smoking Allowed,Suitable for Events,TV,Title,URL,UserID,Value,Washer,Weekly_Price,Wheelchair Accessible,Wireless Internet
264,2,Not Found,1,1,Real Bed,1,1,1,0,0,Flexible,0,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0,1,1,1,No Charge,0,0,0,0,1,1,0,0,0,1,40.81374242613751,7145712,Not Found,-73.93474754784137,Not Found,0,1,50,Apartment,1,Not Found,0,1,0,1,0,ENJOY NEW YORK CITY!!,https://www.airbnb.com/rooms/7145712,37421179,Not Found,1,Not Found,1,1
265,4,Not Found,0,1,Real Bed,0,1,1,1,0,Moderate,0,Not Found,Not Found,Not Found,$30,Not Found,Not Found,1,1,1,1,$20 / night after 2 guests,1,0,0,0,1,1,0,0,1,1,40.755223467566594,6179688,Not Found,-73.99905907827758,Not Found,0,1,99,Apartment,1,Not Found,1,0,0,1,0,"Sunny, Minimal Studio by High Line!",https://www.airbnb.com/rooms/6179688,4499819,Not Found,1,Not Found,1,1
266,2,4.5,0,1,Real Bed,1,1,1,1,1,Strict,0,Not Found,12:00 PM (noon),5.0,Not Found,4.0,5.0,0,1,1,1,$10 / night after the first guest,0,0,0,0,1,1,0,0,1,1,40.823538067108316,5704948,5.0,-73.94384849267627,Not Found,0,1,70,Apartment,1,Not Found,1,1,0,1,1,Upper Manhattan King Room,https://www.airbnb.com/rooms/5704948,4837798,4.5,1,Not Found,1,1
267,1,4.5,1,2,Real Bed,1,1,1,1,0,Strict,0,Not Found,Not Found,5.0,$5,4.5,5.0,0,1,1,1,Not Found,0,0,0,0,1,1,0,0,0,1,40.84867987207523,3865141,4.5,-73.93399415811993,$1400,0,1,60,Apartment,1,Not Found,1,0,0,1,1,On Broadway Close to Express Train!,https://www.airbnb.com/rooms/3865141,8616890,4.5,1,$400,1,1
268,6,Not Found,1,1,Not Found,2,2,1,0,0,Strict,0,Not Found,Not Found,Not Found,$100,Not Found,Not Found,1,1,1,1,No Charge,1,1,1,0,1,1,0,0,1,1,40.80166180861362,5028518,Not Found,-73.96094540607426,Not Found,0,1,200,Apartment,1,$500,0,1,0,1,1,Large 2BD. UWS Near Columbia U/Park,https://www.airbnb.com/rooms/5028518,5993211,Not Found,1,$1300,1,1
269,2,4.5,1,1,Real Bed,1,1,1,1,0,Flexible,1,Not Found,Not Found,5.0,Not Found,4.5,5.0,0,1,0,1,No Charge,0,0,0,0,1,1,0,0,1,1,40.79918691648152,3802306,4.5,-73.95059694711989,Not Found,0,1,95,Apartment,1,Not Found,0,1,0,1,0,Cozy & historic Central Park apt.,https://www.airbnb.com/rooms/3802306,19533079,4.5,1,$550,1,1
270,5,Not Found,1,1,Not Found,1,2,1,0,1,Strict,0,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0,1,1,1,$30 / night after 2 guests,0,0,0,0,1,1,0,0,1,1,40.7867083795822,5006165,Not Found,-73.97269695804627,Not Found,0,1,160,Apartment,1,$400,1,0,0,1,1,Cozy and spacious apartment UWS,https://www.airbnb.com/rooms/5006165,9803738,Not Found,1,Not Found,1,1
271,4,Not Found,1,1,Not Found,0,2,1,1,1,Strict,0,3:00 PM,11:00 AM,Not Found,$55,Not Found,Not Found,0,1,0,1,No Charge,1,1,0,0,1,1,0,0,1,1,40.7662003419716,7173478,Not Found,-73.98432242026794,Not Found,0,1,120,Apartment,1,$100,1,1,0,1,1,BEAUTIFUL STUDIO IN TIMES SQ 4PPL,https://www.airbnb.com/rooms/7173478,9074158,Not Found,1,Not Found,1,1
272,5,4.5,1,1,Not Found,1,2,1,1,0,Strict,1,4:00 PM,1:00 PM,5.0,$49,5.0,5.0,0,1,0,1,$20 / night after 2 guests,0,0,0,0,1,1,0,0,1,1,40.745711871153816,6044648,5.0,-73.9992387308774,$3999,0,1,149,Apartment,1,$500,1,1,0,1,0,Cozy 1BR in Prime Chelsea,https://www.airbnb.com/rooms/6044648,1192756,5.0,1,$1199,1,1
273,3,4.5,1,1,Real Bed,1,1,1,1,0,Strict,1,Not Found,Not Found,4.5,$20,3.0,4.5,0,1,0,1,$20 / night after 2 guests,1,0,0,0,1,1,1,0,1,1,40.77901374616557,1805797,5.0,-73.97598195229584,$2250,1,1,90,Apartment,1,Not Found,1,1,1,1,1,Large 1 Bedroom/1 Bath with Patio!,https://www.airbnb.com/rooms/1805797,9464411,4.5,1,$600,1,1
274,1,Not Found,0,1,Real Bed,1,1,1,0,0,Flexible,1,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0,1,0,1,Not Found,0,0,0,0,1,1,0,0,1,1,40.77575653320784,7205304,Not Found,-73.94962307522678,$1400,0,1,47,Apartment,1,Not Found,0,1,0,1,1,1BR in a 2 BR Apartment,https://www.airbnb.com/rooms/7205304,37726752,Not Found,1,Not Found,1,1
275,3,4.5,1,1,Not Found,1,3,1,1,1,Strict,1,4:00 PM,12:00 PM (noon),4.5,$85,4.5,4.5,0,1,0,1,$25 / night after 2 guests,1,1,1,0,1,1,0,0,1,1,40.81617573949678,29455,4.0,-73.9489419503933,$2499,0,1,119,Apartment,1,$300,1,1,0,1,1,ACCOMMODATIONS GALORE 4 GUESTS.,https://www.airbnb.com/rooms/29455,126607,4.5,1,$708,1,1
276,2,4.5,0,1,Real Bed,1,1,1,1,0,Strict,0,3:00 PM,12:00 PM (noon),4.5,$20,4.0,4.5,0,1,0,1,No Charge,0,0,0,0,1,1,0,0,1,1,40.7703600922959,1111689,4.5,-73.94923630649278,Not Found,0,1,115,Apartment,1,Not Found,1,1,0,1,1,Upper East Side / Yorkville Studio,https://www.airbnb.com/rooms/1111689,6101617,4.0,1,$650,1,1
277,2,Not Found,1,1,Real Bed,0,1,1,0,0,Flexible,1,Not Found,Not Found,Not Found,$80,Not Found,Not Found,1,1,1,1,No Charge,1,0,1,0,1,1,0,0,1,1,40.705102121412985,6967432,Not Found,-74.01628048790502,$2919,1,1,139,Apartment,1,$500,0,1,1,1,0,Studio apartment in Battery Park,https://www.airbnb.com/rooms/6967432,6523373,Not Found,1,$827,1,1
278,2,5.0,1,1,Real Bed,1,1,1,1,0,Strict,0,7:00 PM,11:00 AM,5.0,$20,5.0,5.0,0,1,1,1,$20 / night after the first guest,0,0,0,0,1,1,0,0,0,1,40.832517906456054,2778250,4.5,-73.94915828540982,$1500,0,1,70,Apartment,1,$200,0,1,0,1,0,Queen size bedroom with river view!,https://www.airbnb.com/rooms/2778250,4417252,5.0,1,$420,1,1
279,1,Not Found,1,1,Real Bed,1,1,1,1,0,Flexible,0,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0,1,0,1,Not Found,0,0,0,0,1,1,0,0,1,1,40.76341082725183,7004103,Not Found,-73.97937584298012,$1400,0,1,100,Apartment,1,Not Found,0,0,0,1,0,Large Exposed Brick 1BR in Midtown,https://www.airbnb.com/rooms/7004103,36692063,Not Found,1,$600,1,1
280,4,Not Found,1,1,Not Found,1,2,1,0,0,Moderate,0,Not Found,Not Found,Not Found,$50,Not Found,Not Found,0,1,0,1,No Charge,1,0,0,0,1,1,0,0,1,1,40.82673492213223,6811778,Not Found,-73.94234716534223,Not Found,0,1,150,Apartment,1,Not Found,0,0,0,1,0,"Large, Private NYC Apartment",https://www.airbnb.com/rooms/6811778,35657710,Not Found,1,$750,1,1
281,3,Not Found,1,1,Not Found,2,2,1,0,0,Moderate,1,12:00 PM (noon),Not Found,Not Found,Not Found,Not Found,Not Found,0,1,0,1,$10 / night after 2 guests,1,0,0,0,1,1,0,0,1,1,40.7248102074068,7134658,Not Found,-73.97781130364365,Not Found,0,1,150,Apartment,1,$500,0,0,1,1,1,East Village Superclean 2 Bd apt,https://www.airbnb.com/rooms/7134658,3510405,Not Found,1,Not Found,1,1
282,2,Not Found,0,1,Real Bed,1,1,1,1,0,Strict,1,12:00 PM (noon),12:00 PM (noon),Not Found,$15,Not Found,Not Found,0,1,1,1,$15 / night after the first guest,1,0,0,0,1,1,1,0,1,1,40.832212538486196,6742901,Not Found,-73.94056177255696,$1500,0,1,65,Apartment,1,$95,0,1,0,1,0,Private bedroom in Manhattan,https://www.airbnb.com/rooms/6742901,3494886,Not Found,1,Not Found,1,1
283,2,5.0,1,1,Real Bed,1,1,1,1,1,Strict,1,3:00 PM,12:00 PM (noon),5.0,Not Found,5.0,5.0,0,1,1,1,$22 / night after the first guest,0,1,1,0,1,1,0,0,1,1,40.83213178698768,5957914,4.5,-73.9391302176408,Not Found,0,1,69,Apartment,1,Not Found,1,1,0,1,1,Bright Sunny Room With City Views,https://www.airbnb.com/rooms/5957914,30927831,5.0,1,Not Found,1,1
284,2,Not Found,1,1,Real Bed,0,1,1,1,0,Strict,0,Not Found,Not Found,Not Found,$33,Not Found,Not Found,0,1,0,1,No Charge,0,0,0,0,1,1,0,1,1,1,40.726468665993856,6260706,Not Found,-74.00344203934213,Not Found,0,1,163,Apartment,1,Not Found,1,1,0,1,0,Beautiful Bright Soho Studio,https://www.airbnb.com/rooms/6260706,14305428,Not Found,1,Not Found,1,1
285,4,Not Found,1,1,Real Bed,1,1,1,0,0,Strict,0,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0,1,0,1,$15 / night after the first guest,0,0,0,0,1,1,0,0,0,1,40.79920918992111,7208278,Not Found,-73.95594586977907,Not Found,0,1,80,Apartment,1,$200,1,1,0,1,1,Big Room in Front of Central Park,https://www.airbnb.com/rooms/7208278,59172,Not Found,1,Not Found,1,1
286,3,3.5,1,1,Not Found,1,2,1,1,1,Strict,0,2:00 PM,11:00 AM,4.0,$75,4.0,4.0,0,1,0,1,$20 / night after 2 guests,1,0,0,0,1,1,0,0,0,1,40.783120121431374,616208,4.5,-73.97464030601631,Not Found,0,1,135,Apartment,1,Not Found,0,0,0,1,1,Gorgeous Sunny Studio,https://www.airbnb.com/rooms/616208,26640,4.0,1,Not Found,1,1
287,4,Not Found,0,1,Not Found,2,2,1,1,0,Flexible,0,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0,1,0,1,No Charge,0,0,0,0,1,1,0,0,1,1,40.78596964983787,5858087,Not Found,-73.97727134063199,Not Found,0,1,200,Apartment,1,Not Found,0,1,0,1,0,Upper West Side 2BR,https://www.airbnb.com/rooms/5858087,30415804,Not Found,1,Not Found,1,1
288,2,5.0,0,1,Real Bed,1,1,1,0,0,Flexible,0,Not Found,Not Found,5.0,Not Found,4.5,4.5,0,1,0,1,No Charge,0,0,0,0,1,1,0,0,1,1,40.834112167857285,6397707,4.5,-73.94665292013747,Not Found,0,1,60,Apartment,1,Not Found,0,0,0,1,0,1 Large BD in 2 BD Manhattan apt,https://www.airbnb.com/rooms/6397707,24835158,4.5,1,Not Found,1,1
289,2,4.5,1,1,Real Bed,1,1,1,1,0,Strict,1,4:00 PM,11:00 AM,5.0,$50,4.5,5.0,1,1,1,1,$25 / night after the first guest,0,0,0,0,1,1,0,0,1,1,40.80950415711657,3979628,4.5,-73.95394625560391,$2500,0,1,93,Apartment,1,$100,1,1,0,1,0,BR/Private Bath 10Mins to TIME SQ,https://www.airbnb.com/rooms/3979628,2766755,4.5,1,Not Found,1,1
290,4,4.0,1,1,Not Found,1,2,1,0,1,Moderate,1,Not Found,Not Found,4.0,$80,4.0,4.5,1,1,1,1,No Charge,0,0,1,0,1,1,0,0,0,1,40.76417753726806,606386,5.0,-73.97670313653096,Not Found,1,1,160,Apartment,1,$240,0,0,0,1,1,STUDIO AT MANHATTAN'S HEART C. PARK,https://www.airbnb.com/rooms/606386,3003563,3.5,1,Not Found,1,1
291,4,4.5,1,1,Not Found,1,2,1,0,0,Moderate,0,3:00 PM,11:00 AM,4.5,$40,5.0,4.5,0,1,1,1,$10 / night after 2 guests,1,0,0,1,1,1,0,0,1,1,40.81163760085728,1498997,4.0,-73.93610618073079,Not Found,0,1,105,Apartment,1,Not Found,0,0,0,1,1,HUGE Harlem Apartment!,https://www.airbnb.com/rooms/1498997,8010331,5.0,1,Not Found,1,1
292,2,5.0,0,1,Real Bed,1,1,1,0,0,Strict,1,2:00 PM,12:00 PM (noon),5.0,Not Found,5.0,5.0,0,1,0,1,No Charge,0,1,0,0,1,1,0,0,0,1,40.79607519582101,4268286,4.0,-73.93818770592556,Not Found,0,1,80,House,1,Not Found,0,1,0,1,0,Cozy brownstone bed & bath; pvt.ent,https://www.airbnb.com/rooms/4268286,22158091,4.5,1,Not Found,1,1
293,2,Not Found,1,1,Real Bed,1,1,1,0,1,Flexible,0,Not Found,Not Found,Not Found,$20,Not Found,Not Found,0,1,0,1,No Charge,0,1,0,0,1,1,0,0,1,1,40.76387406971058,6849879,Not Found,-73.9582915571203,$2400,0,1,78,Apartment,1,Not Found,1,1,0,1,1,"Middle Bedroom,Great Neighborhood",https://www.airbnb.com/rooms/6849879,3541780,Not Found,1,$500,1,1
294,4,5.0,0,1,Not Found,1,2,1,1,0,Moderate,1,Not Found,12:00 PM (noon),5.0,Not Found,4.5,5.0,0,1,1,1,$24 / night after the first guest,1,0,0,0,1,1,0,0,1,1,40.79507685831342,3715638,4.5,-73.94894602366848,$1568,0,1,68,Apartment,1,Not Found,1,1,0,1,1,Sunny Room at Central Park!,https://www.airbnb.com/rooms/3715638,9784206,4.5,1,$520,1,1
295,5,Not Found,1,1,Not Found,2,3,1,0,0,Strict,0,3:00 PM,12:00 PM (noon),Not Found,$50,Not Found,Not Found,0,1,0,1,$10 / night after 2 guests,0,0,0,0,1,1,0,0,1,1,40.79489944297064,6348483,Not Found,-73.93411906024947,$4600,0,1,230,Apartment,1,Not Found,0,1,0,1,0,Huge loft two bedroom Central Park!,https://www.airbnb.com/rooms/6348483,22008459,Not Found,1,$1500,1,1
296,1,4.5,1,1,Real Bed,1,1,1,0,0,Strict,1,Not Found,Not Found,5.0,Not Found,4.0,5.0,0,1,1,1,Not Found,0,0,0,0,1,1,0,0,1,1,40.75860457033141,6076131,5.0,-73.97218198415851,Not Found,0,1,100,Apartment,1,Not Found,1,1,0,1,1,Beautiful Room in Midtown East,https://www.airbnb.com/rooms/6076131,23457219,4.5,1,$560,1,1
297,2,4.5,1,1,Real Bed,1,1,1,1,0,Moderate,1,3:00 PM,12:00 PM (noon),5.0,$20,4.5,5.0,0,1,1,1,$20 / night after the first guest,1,0,1,0,1,1,0,0,1,1,40.80093843803968,3721245,5.0,-73.96002982560944,Not Found,0,1,89,Apartment,1,$400,1,1,0,1,0,"Private room,across from Central Pk",https://www.airbnb.com/rooms/3721245,5220676,4.5,1,$553,1,1
298,6,4.5,1,1,Not Found,1,2,1,0,1,Strict,0,3:00 PM,12:00 PM (noon),4.0,Not Found,4.5,4.0,1,1,1,1,$15 / night after 3 guests,1,1,1,0,1,1,0,0,1,1,40.74675391827361,4588280,5.0,-73.98927481254889,Not Found,0,1,130,Apartment,1,Not Found,1,1,0,1,1,Cozy 1BR by Empire-State upto 6ppl,https://www.airbnb.com/rooms/4588280,21101792,4.5,1,Not Found,1,1
299,4,Not Found,1,1,Not Found,2,2,1,1,0,Flexible,1,9:00 AM,6:00 PM,Not Found,Not Found,Not Found,Not Found,1,1,1,1,No Charge,1,0,0,0,1,1,0,0,0,1,40.74379714124535,6459767,Not Found,-73.98021836572393,Not Found,0,1,210,Apartment,1,$500,0,1,0,1,0,2Bd in Luxury Full-Service Building,https://www.airbnb.com/rooms/6459767,33735412,Not Found,1,$1500,1,1
300,1,Not Found,0,1,Real Bed,0,1,0,0,0,Strict,0,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0,0,0,0,Not Found,0,0,0,0,0,0,0,0,0,0,40.780168380168035,6400255,Not Found,-73.98316550471961,Not Found,0,0,150,Apartment,0,Not Found,0,0,0,0,0,Studio in Lux Building on UWS!,https://www.airbnb.com/rooms/6400255,5707879,Not Found,0,Not Found,0,0
301,6,Not Found,1,1,Not Found,2,4,1,1,0,Flexible,1,Not Found,Not Found,Not Found,$50,Not Found,Not Found,0,1,1,1,No Charge,1,0,1,0,1,1,0,0,1,1,40.795908849742865,2360335,Not Found,-73.9606984175086,Not Found,0,1,175,Apartment,1,Not Found,1,1,0,1,0,Upper West Side next to CentralPark,https://www.airbnb.com/rooms/2360335,9902239,Not Found,1,$1100,1,1
302,1,Not Found,1,1,Real Bed,1,1,1,0,0,Strict,0,12:00 PM (noon),Not Found,Not Found,$30,Not Found,Not Found,0,1,0,1,Not Found,0,0,0,0,1,1,0,0,1,1,40.718499623472376,6926686,Not Found,-73.99805332529883,$1800,0,1,90,Apartment,1,$500,0,1,0,1,0,CLEAN and COMFY room avail in SoHo!,https://www.airbnb.com/rooms/6926686,4667102,Not Found,1,$630,1,1
303,2,Not Found,1,1,Real Bed,1,1,1,1,0,Moderate,1,Not Found,5:00 PM,Not Found,Not Found,Not Found,Not Found,0,1,0,1,$10 / night after the first guest,0,0,1,0,1,1,0,0,1,1,40.84691966726805,6335801,Not Found,-73.94364423413973,$900,0,1,43,Apartment,1,Not Found,1,1,0,1,0,Cute Room with a View,https://www.airbnb.com/rooms/6335801,32986553,Not Found,1,$250,1,1
304,2,5.0,1,1.5,Real Bed,1,1,1,1,1,Flexible,1,Not Found,Not Found,5.0,Not Found,5.0,5.0,0,1,0,1,No Charge,0,1,1,0,1,1,0,0,0,1,40.782022297848926,6277470,5.0,-73.94718928426632,$3200,0,1,140,Apartment,1,Not Found,0,1,0,1,0,Cozy BR in the Upper East Side,https://www.airbnb.com/rooms/6277470,32592694,5.0,1,$800,1,1
305,2,Not Found,1,1,Real Bed,1,1,1,0,0,Moderate,1,12:00 PM (noon),12:00 PM (noon),Not Found,$40,Not Found,Not Found,0,1,0,1,No Charge,0,0,1,0,1,1,0,0,1,1,40.779235591378004,4015442,Not Found,-73.95528078948846,Not Found,0,1,145,Apartment,1,Not Found,1,1,0,1,1,1BR NYC apartment near Central Park,https://www.airbnb.com/rooms/4015442,3414182,Not Found,1,Not Found,1,1
306,2,5.0,1,1,Real Bed,0,1,1,1,0,Flexible,1,Not Found,Not Found,5.0,Not Found,4.5,5.0,0,1,1,1,No Charge,0,0,0,0,1,1,0,0,1,1,40.762725785005244,6553162,5.0,-73.9616261094607,Not Found,0,1,128,Apartment,1,Not Found,1,1,0,1,1,gorgeous studio with huge garden,https://www.airbnb.com/rooms/6553162,34273657,5.0,1,Not Found,1,1
307,2,Not Found,1,1,Real Bed,1,1,1,1,0,Flexible,1,Not Found,Not Found,Not Found,$10,Not Found,Not Found,0,1,1,1,$10 / night after the first guest,0,0,1,0,1,1,0,0,1,1,40.81537775623328,6940138,Not Found,-73.93784177169847,Not Found,0,1,60,Apartment,1,Not Found,1,1,0,1,1,Spacious Private BDRM in Manhattan,https://www.airbnb.com/rooms/6940138,36391065,Not Found,1,$350,1,1
308,6,4.5,1,1,Not Found,2,2,1,1,0,Strict,1,2:00 PM,11:00 AM,4.0,$85,5.0,5.0,0,1,0,1,$25 / night after 2 guests,1,1,0,0,1,1,0,0,1,1,40.7599478930973,6539895,4.5,-73.99138105087955,Not Found,0,1,249,Apartment,1,$200,1,1,0,1,1,Best Midtown Time Sqaure 2BR Apt,https://www.airbnb.com/rooms/6539895,25201848,4.5,1,Not Found,1,1
309,8,4.5,1,1.5,Not Found,4,4,1,1,1,Strict,1,4:00 PM,11:00 AM,4.5,$100,4.5,4.5,0,1,1,1,No Charge,1,1,1,0,1,1,1,0,1,1,40.74146334753728,4098642,4.5,-73.97658507615711,Not Found,0,1,500,Apartment,1,Not Found,0,1,0,1,1,Penthouse / 4Bedrooms / Sleep 8,https://www.airbnb.com/rooms/4098642,21258984,4.0,1,Not Found,1,1
310,4,4.5,1,1,Not Found,1,2,1,1,1,Strict,0,Not Found,Not Found,4.5,$100,4.5,4.5,0,1,1,1,$25 / night after 2 guests,1,0,0,1,1,1,0,0,1,1,40.81893394931145,258412,4.0,-73.94325076068789,$3500,0,1,125,Apartment,1,$500,0,0,0,1,1,"""New"" Apt 15 min from Times Square ",https://www.airbnb.com/rooms/258412,1358840,4.0,1,$950,1,1
311,5,4.0,1,1,Not Found,2,2,1,0,0,Strict,0,2:00 PM,12:00 PM (noon),5.0,$20,4.5,5.0,0,1,1,1,$10 / night after 4 guests,1,0,0,0,1,1,0,0,1,1,40.79845872783135,806069,4.0,-73.93053124430072,Not Found,1,1,150,Apartment,1,$95,0,0,0,1,1,Great Flat @ Upper East Manhattan!,https://www.airbnb.com/rooms/806069,4103257,4.5,1,Not Found,1,1
312,3,5.0,1,1,Not Found,1,2,1,0,0,Flexible,1,Not Found,Not Found,5.0,$49,5.0,5.0,0,1,0,1,No Charge,1,1,1,0,1,1,0,0,0,1,40.8232855415288,3468044,4.5,-73.9509171974501,$3000,0,1,127,House,1,Not Found,1,1,0,1,0,Relax in Our Stylish Guest-Suite,https://www.airbnb.com/rooms/3468044,17473019,5.0,1,$700,1,1
313,2,Not Found,1,1,Real Bed,1,1,1,1,1,Moderate,1,Not Found,2:00 PM,Not Found,$25,Not Found,Not Found,0,1,0,1,No Charge,0,1,0,0,1,1,0,0,1,1,40.737835825797696,6884704,Not Found,-74.00376749399122,Not Found,0,1,156,Apartment,1,Not Found,1,1,0,1,1,Modern West Village Room w/ Rooftop,https://www.airbnb.com/rooms/6884704,1575017,Not Found,1,Not Found,1,1
314,2,5.0,1,1,Real Bed,1,1,1,1,0,Moderate,1,Not Found,Not Found,5.0,$13,5.0,5.0,0,1,0,1,$10 / night after the first guest,0,0,1,0,1,1,0,0,1,1,40.83685943737595,3241287,4.0,-73.94393320876964,Not Found,0,1,50,Apartment,1,Not Found,0,1,0,1,1,Small Cozy Private Room in NYC,https://www.airbnb.com/rooms/3241287,16399575,4.5,1,Not Found,1,1
315,4,4.0,1,1,Not Found,1,2,1,0,0,Flexible,0,Not Found,Not Found,3.5,$50,3.0,4.5,0,1,0,1,$40 / night after 2 guests,0,0,0,0,1,1,0,0,0,1,40.72002390833328,5292535,4.5,-73.98574312847215,Not Found,0,1,109,Apartment,1,Not Found,0,0,0,1,0,Charming Lovely Lower East Side 1BR,https://www.airbnb.com/rooms/5292535,19987790,4.0,1,Not Found,1,1
316,2,4.5,0,1,Real Bed,1,1,1,0,1,Strict,0,4:00 PM,12:00 PM (noon),4.5,$10,4.5,4.5,0,1,1,1,$25 / night after the first guest,0,0,0,0,1,1,0,0,1,1,40.82065295912743,1086367,4.0,-73.95389707382334,Not Found,0,1,50,Apartment,1,$100,0,0,0,1,1,Just like Home NYC Bedroom,https://www.airbnb.com/rooms/1086367,4703464,4.5,1,Not Found,1,1
317,2,Not Found,1,1,Real Bed,1,1,1,0,0,Moderate,1,Not Found,Not Found,Not Found,$19,Not Found,Not Found,0,1,0,1,No Charge,0,0,0,0,1,1,1,0,0,1,40.76679897519328,6823282,Not Found,-73.99311880553022,Not Found,0,1,78,Apartment,1,Not Found,1,1,0,1,0,Quite Room just off Time Square,https://www.airbnb.com/rooms/6823282,35736676,Not Found,1,Not Found,1,1
318,4,4.5,1,1,Not Found,1,2,1,0,0,Moderate,1,2:00 PM,12:00 PM (noon),4.5,Not Found,4.0,5.0,0,1,0,1,No Charge,1,0,0,0,1,1,0,0,1,1,40.8022565513389,3833046,3.5,-73.93507304308062,Not Found,0,1,119,Apartment,1,$119,1,1,0,1,0, Modern 1 bedroom near Subway,https://www.airbnb.com/rooms/3833046,6071699,4.0,1,Not Found,1,1
319,2,5.0,1,1,Real Bed,1,1,1,1,1,Moderate,1,Not Found,Not Found,5.0,Not Found,5.0,5.0,0,1,0,1,No Charge,1,0,0,0,1,1,0,0,1,1,40.78890961316276,5629155,4.5,-73.94797995745186,Not Found,0,1,90,Apartment,1,$100,1,1,0,1,1,Cozy Room 10 mins to Central Park,https://www.airbnb.com/rooms/5629155,29130978,5.0,1,Not Found,1,1
320,3,4.5,1,1.5,Not Found,1,2,1,1,1,Strict,1,Not Found,Not Found,4.5,$10,4.5,4.5,0,1,1,1,$25 / night after 2 guests,1,1,1,0,1,1,0,0,1,1,40.823907969872465,476983,4.5,-73.94307878454082,$1600,1,1,57,Apartment,1,Not Found,1,1,0,1,1,"PRIVATE Room in Spacious, Quiet Apt",https://www.airbnb.com/rooms/476983,277379,4.5,1,Not Found,1,1
321,2,4.5,1,1,Not Found,1,2,1,1,1,Strict,0,2:00 PM,11:00 AM,5.0,Not Found,4.5,5.0,0,1,0,1,$10 / night after the first guest,0,0,0,0,1,1,0,0,1,1,40.76240783751144,37014,4.5,-73.95824770600645,Not Found,0,1,89,Bed & Breakfast,1,Not Found,1,0,0,1,0,"Room with shower, Upper East Side",https://www.airbnb.com/rooms/37014,159746,5.0,1,$600,1,1
322,2,Not Found,1,1,Real Bed,1,1,1,1,1,Strict,1,9:00 AM,3:00 PM,Not Found,$45,Not Found,Not Found,0,1,0,1,$7 / night after the first guest,1,0,0,0,1,1,0,0,1,1,40.787932483617126,4728060,Not Found,-73.97656899849439,$2100,0,1,80,Apartment,1,$260,0,1,0,1,1,1 bedroom in lovely UWS Apartment,https://www.airbnb.com/rooms/4728060,24416291,Not Found,1,$500,1,1
323,1,5.0,1,1,Real Bed,1,1,1,1,1,Strict,0,12:00 PM (noon),10:00 AM,5.0,Not Found,5.0,5.0,0,1,1,1,Not Found,0,0,0,0,1,1,0,0,1,1,40.72759754045031,506121,5.0,-73.98346679952938,$1550,0,1,69,Apartment,1,Not Found,1,0,0,1,1,Cozy Room in Lively East Village,https://www.airbnb.com/rooms/506121,2267153,5.0,1,$450,1,1
324,2,5.0,1,1,Futon,1,1,1,1,1,Strict,0,Not Found,Not Found,5.0,$15,5.0,5.0,0,1,1,1,Not Found,0,0,0,0,1,1,0,0,1,1,40.83151708638425,343971,4.5,-73.94914367368393,$1000,0,1,75,Apartment,1,Not Found,0,0,0,1,1,Beautiful New Manhattan Apartment,https://www.airbnb.com/rooms/343971,10609846,5.0,1,$600,1,1
325,5,Not Found,1,1,Not Found,3,4,1,1,0,Flexible,1,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0,1,1,1,No Charge,1,1,0,0,1,1,0,0,0,1,40.80878345160557,6560717,Not Found,-73.9597166751467,$4725,0,1,225,Apartment,1,Not Found,0,1,0,1,0,near Columbia University campus,https://www.airbnb.com/rooms/6560717,34315920,Not Found,1,$1339,1,1
326,1,Not Found,1,1,Real Bed,1,1,1,1,0,Flexible,1,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0,1,0,1,Not Found,0,0,1,0,1,1,0,0,1,1,40.86743109734267,7115505,Not Found,-73.91661477693451,$900,1,1,40,Apartment,1,$200,1,1,0,1,1,"Large, sunny, quiet room in Inwood",https://www.airbnb.com/rooms/7115505,37274471,Not Found,1,$250,1,1
327,4,Not Found,1,1,Not Found,1,2,1,1,0,Strict,1,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0,1,1,1,No Charge,1,0,0,0,1,1,1,0,1,1,40.76219246916449,7223826,Not Found,-73.98919159067822,Not Found,0,1,200,Apartment,1,$500,0,1,0,1,1,1br Centrally located near Time Sq,https://www.airbnb.com/rooms/7223826,8157766,Not Found,1,Not Found,1,1
