,nameCT,,categoriesCT,descCT,doublon,priceOCT,priceFinalCT,priceFinalAddCT
43,bounty towels bundle pk 8 roll pkg,bounty towels bundle pk 8 roll pkg,General Merchandise,"w/Prints, White, or Select-A-Size (40-70 sh.) or Charmin Ultra Soft or Ultra Strong Bathroom Tissue: Mega Roll (6 Pk. 328-330 sh.) or Double Roll (12 Pk. 164-165 sh.)",1,$8 ,7.99,
44,brunswick sardines in oil,brunswick sardines in oil,Grocery,3.75 Oz. Can,1,99¢,0.99,
45,budweiser beer (reclosable),budweiser beer (reclosable),"Beer, Wine & Spirits",Bud Light or Regular 8 Pk. 16 Oz. Aluminum Btls.,1,8.99,8.99,
46,bumble bee albacore tuna,bumble bee albacore tuna,Grocery,Assorted Varieties 2.5 Oz. Pouches,1,1.69,1.69,
47,bumble bee premium chub mackerel,bumble bee premium chub mackerel,Grocery,15 Oz. Can,1,1.99,1.99,
48,bumble bee skinless,bumble bee skinless,Grocery,In Tomato Sauce or Oil 4.05 Oz. Box,1,1.49,1.49,
49,bush's best baked beans,bush's best baked beans,Grocery,28 Oz. Cans or Grillin' (22 Oz.),1,1.99,1.99,
50,cafe la llave decaf,cafe la llave decaf,Beverages,8.8 Oz. Brkpk.,1,2.69,2.69,
51,cafe la llave,cafe la llave,Beverages,(Excluding Decaf) 8.8 Oz. Brkpk.,1,1.99,1.99,
52,capatriti blended olive oil,capatriti blended olive oil,Grocery,101 Oz. Can,1,9.49,9.49,
53,capri sun 100% juice,capri sun 100% juice,Beverages,"Berry, Apple, or Fruit Punch 10 Pk. 6 Oz. Brkpks.",1,3.69,3.69,
54,capri sun value pack,capri sun value pack,Beverages,"Wild Cherry, Strawberry/Kiwi, or Fruit Punch 30 Pk. 6 Oz. Brkpk.",1,7.99,7.99,
55,cento anchovies,cento anchovies,Grocery,Flat or Rolled 2 Oz. Can; Clam Juice (8 Oz. Btl.),1,1.69,1.69,
