,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
35,39,36,2015-01-13,22-296,CLE,@,PHO,L (-7),1,44:02,4,14,.286,1,4,.250,0,0,,0,1,1,6,1,0,8,1,9,-2.1,-7,17.8
36,40,37,2015-01-15,22-298,CLE,@,LAL,W (+7),1,37:08,9,16,.563,0,4,.000,4,4,1.000,2,0,2,3,2,0,5,2,22,14.1,0,30.5
37,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
38,41,38,2015-01-16,22-299,CLE,@,LAC,W (+5),1,41:05,12,18,.667,5,7,.714,8,9,.889,1,3,4,5,3,1,4,4,37,32.0,+4,58.0
39,42,39,2015-01-19,22-302,CLE,,CHI,W (+14),1,40:34,7,16,.438,1,2,.500,3,4,.750,1,3,4,12,0,2,1,1,18,19.2,+16,46.5
40,43,40,2015-01-21,22-304,CLE,,UTA,W (+14),1,36:46,8,13,.615,2,3,.667,0,1,.000,0,3,3,4,5,0,0,1,18,20.0,+15,38.8
41,44,41,2015-01-23,22-306,CLE,,CHO,W (+39),1,27:48,7,12,.583,3,4,.750,1,2,.500,1,3,4,2,1,1,1,2,18,14.9,+30,31.0
42,45,42,2015-01-25,22-308,CLE,,OKC,W (+10),1,41:18,9,21,.429,3,7,.429,0,0,,0,2,2,6,2,0,2,2,21,13.9,-3,37.0
43,46,43,2015-01-27,22-310,CLE,@,DET,W (+8),1,41:54,13,23,.565,6,10,.600,6,6,1.000,1,2,3,6,3,1,3,2,38,32.5,+6,60.3
44,47,44,2015-01-28,22-311,CLE,,POR,W (+5),1,38:35,17,36,.472,11,19,.579,10,10,1.000,2,2,4,5,2,0,3,0,55,41.1,+12,75.5
